C.D.S.  -  SIMBAD4 rel 1.8  -  2025.01.29CET17:13:11

Number of objects : 9018

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |     spec. type      |#bib |#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------------|-----|----
390 |* 9 Cas                            |*  |00 04 13.6624530168 +62 17 15.591230916|5.89     |6.154    |5.884    |     ~   |     ~   |A1II-III             |  45 |   0
391 |* 12 Cas                           |*  |00 24 47.5054725480 +61 49 51.808098288|     ~   |5.375    |5.377    |     ~   |     ~   |B9III                |  67 |   0
392 |* kap Cas                          |s*b|00 32 59.9918836206 +62 55 54.413126128|3.50     |4.30     |4.16     |4.02     |3.96     |BC0.7Ia              | 469 |   0
393 |HD 5459                            |PM*|00 57 19.6066196088 +61 25 18.821154864|     ~   |7.379    |6.437    |     ~   |     ~   |G5III                |  19 |   0
394 |HD 4817                            |** |00 51 16.3831719552 +61 48 19.779990984|9.88     |8.08     |6.18     |4.73     |3.64     |K2.5Ib-IICN-1        |  82 |   0
395 |HD 6210                            |PM*|01 04 19.4510863152 +61 34 48.662237964|     ~   |6.386    |5.833    |     ~   |     ~   |F6V                  |  86 |   0
396 |* del Cas                          |EB*|01 25 48.9514709 +60 14 07.022507      |2.930    |2.810    |2.680    |2.53     |2.44     |A5IV                 | 268 |   0
397 |HD 10362                           |*  |01 42 58.3202573904 +61 25 15.863948112|     ~   |6.320    |6.323    |     ~   |     ~   |B7III                |  49 |   0
398 |* 44 Cas                           |*  |01 43 19.7566701600 +60 33 04.796911692|     ~   |5.76     |5.76     |     ~   |     ~   |B8IIIn               |  46 |   0
399 |NGC 654                            |OpC|01 44 01.9 +61 52 59                   |     ~   |7.34     |6.5      |     ~   |     ~   |~                    | 201 |   0
400 |* 5 Per                            |s*b|02 11 29.1934233120 +57 38 43.964680956|6.23     |6.68     |6.35     |6.02     |5.75     |B5Ia                 | 189 |   0
401 |HD 12953                           |sg*|02 08 40.5790963584 +58 25 24.970714608|6.28     |6.29     |5.68     |5.09     |4.59     |A1Ia                 | 196 |   0
402 |HD 13476                           |sg*|02 13 41.6105031504 +58 33 38.107279260|7.26     |7.04     |6.43     |5.89     |5.40     |A2Iab                | 140 |   0
403 |* 8 Per                            |PM*|02 17 59.8872270144 +57 53 59.356756392|     ~   |6.951    |5.748    |     ~   |     ~   |K3III                |  42 |   0
404 |* 10 Per                           |s*b|02 25 16.0283450208 +56 36 35.354429280|5.95     |6.56     |6.26     |5.93     |5.74     |B2Ia                 | 244 |   0
405 |HD 14433                           |sg*|02 21 55.4354619696 +57 14 34.499997492|7.01     |6.97     |6.4800   |5.79     |6.7332   |A1Ia                 | 153 |   0
406 |* chi Per                          |*  |02 18 04.5845635872 +57 30 58.759401204|     ~   |7.036    |6.0230   |     ~   |     ~   |G7.0III              | 175 |   1
407 |* 11 Per                           |*  |02 43 02.8380253536 +55 06 21.666195864|5.13     |5.639    |5.753    |     ~   |     ~   |B8IV                 |  81 |   0
408 |HD 17378                           |sg*|02 49 30.7369299096 +57 05 03.548427576|7.65     |7.14     |6.26     |5.44     |4.68     |A5Ia                 | 182 |   0
409 |* eta Per                          |*  |02 50 41.8099734665 +55 53 43.779721818|7.38     |5.48     |3.79     |2.56     |1.67     |K3-Ib-IIa            | 221 |   0
410 |* gam Per                          |SB*|03 04 47.8201112829 +53 30 23.262605954|4.08     |3.63     |2.93     |2.34     |1.89     |G9III+A2-III:        | 219 |   0
411 |HD 19268                           |*  |03 08 03.8524753032 +52 12 48.632538456|     ~   |6.30     |6.30     |     ~   |     ~   |B5V                  |  62 |   0
412 |HD 20123                           |*  |03 16 12.2028107016 +50 56 15.605186388|7.01     |6.18     |5.03     |     ~   |     ~   |G5Ib-IIa             |  97 |   0
413 |* alf Per                          |V* |03 24 19.3700924 +49 51 40.245455      |2.64     |2.27     |1.79     |     ~   |     ~   |F5Ib                 | 855 |   1
414 |HD 21362                           |*  |03 28 52.3279117200 +49 50 54.188026800|     ~   |5.513    |5.572    |     ~   |     ~   |B6Vn                 | 126 |   0
415 |* 34 Per                           |*  |03 29 22.0494961351 +49 30 32.230623601|4.01     |4.610    |4.735    |     ~   |     ~   |B3V                  | 168 |   0
416 |HD 21278                           |SB*|03 28 03.0707602272 +49 03 46.325803896|     ~   |4.89     |4.97     |     ~   |     ~   |B5V                  | 214 |   0
417 |HD 21620                           |EB*|03 31 29.3403535800 +49 12 35.181649440|6.390    |6.350    |6.280    |     ~   |     ~   |A0Vn                 |  66 |   0
418 |* psi Per                          |Be*|03 36 29.3797327450 +48 11 33.484405927|3.60     |4.17     |4.23     |     ~   |     ~   |B5Ve                 | 422 |   0
419 |HD 21661                           |*  |03 31 49.0389469824 +49 24 03.939105996|     ~   |6.467    |6.411    |     ~   |     ~   |B9II-III             |  39 |   0
420 |HD 23049                           |*  |03 44 06.4279692792 +48 31 25.168093896|     ~   |7.609    |6.042    |     ~   |     ~   |K4III                |  28 |   0
421 |* del Per                          |Be*|03 42 55.4928046977 +47 47 14.988257477|2.38     |2.89     |3.01     |2.99     |3.10     |B5III                | 325 |   0
422 |HD 27026                           |Pu*|04 18 08.1089490240 +42 08 28.194401724|     ~   |6.132    |6.205    |     ~   |6.27     |B9V                  |  51 |   0
423 |* 14 Cyg                           |*  |19 39 26.4926212920 +42 49 05.741064084|5.10     |5.32     |5.40     |     ~   |     ~   |B9III                |  95 |   0
424 |HD 186121                          |** |19 40 41.1500612424 +43 04 40.171152612|9.14     |7.72     |6.16     |     ~   |     ~   |M3III                |  30 |   0
425 |HD 188209                          |s*b|19 51 59.0687638680 +47 01 38.419078944|4.61     |5.55     |5.63     |5.54     |5.64     |O9.5Iab              | 316 |   0
426 |* del Cyg                          |PM*|19 44 58.4785413 +45 07 50.916066      |2.75     |2.85     |2.87     |2.88     |2.90     |B9.5IV               | 298 |   0
427 |HD 186155                          |PM*|19 40 50.1834564055 +45 31 29.788145729|     ~   |5.47     |5.06     |     ~   |     ~   |F5II-III             |  82 |   0
428 |HD 190781                          |SB*|20 04 28.7960587368 +48 13 46.801934148|6.230    |6.180    |6.140    |     ~   |     ~   |A2IV                 |  41 |   0
429 |HD 188074                          |** |19 51 19.3789612248 +47 22 38.050618692|     ~   |6.591    |6.215    |     ~   |     ~   |F2V                  |  45 |   0
430 |HD 188252                          |Pu*|19 52 07.1662436976 +47 55 54.461806320|4.87     |5.722    |5.897    |     ~   |     ~   |B2III                |  84 |   0
431 |HD 188439                          |Pu*|19 53 01.2463552968 +47 48 27.793662768|5.24     |6.147    |6.279    |     ~   |     ~   |B0.5IIIn             | 107 |   0
432 |HD 192983                          |** |20 15 43.2534443808 +50 13 58.477884384|6.510    |6.450    |6.360    |     ~   |     ~   |A2Vn                 |  35 |   0
433 |* e Cyg                            |*  |20 01 21.5633865408 +50 06 16.895812680|     ~   |6.170    |5.048    |     ~   |     ~   |G8III                |  71 |   0
434 |HD 193944                          |*  |20 20 30.6412254048 +53 35 44.475601056|     ~   |7.769    |6.197    |     ~   |     ~   |K5                   |  21 |   0
435 |HD 192439                          |RG*|20 12 31.7175800880 +51 27 48.833969112|     ~   |7.199    |6.043    |     ~   |     ~   |K2.5III              |  19 |   0
436 |HD 194668                          |*  |20 24 32.3659175400 +53 33 06.940204308|6.43     |6.457    |6.479    |     ~   |     ~   |B9V                  |  38 |   0
437 |* ups Cep                          |SB*|20 45 21.1292603297 +57 34 46.979464242|     ~   |5.05     |4.51     |     ~   |     ~   |F8IV-V+F9IV-V        | 179 |   0
438 |V* V379 Cep                        |SB*|20 43 13.6836908304 +57 06 50.370751800|6.17     |6.591    |6.334    |     ~   |     ~   |B2III                | 152 |   0
439 |V* V414 Cep                        |LP*|20 44 22.0517095896 +56 29 18.258708552|     ~   |7.60     |5.95     |     ~   |     ~   |M3III                |  40 |   0
440 |HD 197101                          |*  |20 39 00.1813082112 +56 00 17.454342348|6.920    |6.810    |6.450    |     ~   |     ~   |F2Vn                 |  38 |   0
441 |HD 200205                          |*  |20 59 25.3846975896 +59 26 18.960547380|     ~   |6.942    |5.526    |     ~   |     ~   |K4III                |  50 |   0
442 |HD 199661                          |Pu*|20 56 17.0115667320 +56 53 15.063536868|5.37     |6.049    |6.218    |     ~   |     ~   |B2.5IV               |  71 |   0
443 |HD 203574                          |*  |21 20 33.4472286024 +60 45 23.067444636|     ~   |7.113    |6.104    |     ~   |     ~   |G5III                |  33 |   0
444 |V* V426 Cep                        |LP*|21 27 25.2768613776 +59 45 00.277433640|     ~   |7.822    |6.129    |     ~   |     ~   |M3+IIIa              |  38 |   0
445 |HD 203025                          |Be*|21 17 18.7888826568 +58 36 41.340697812|6.12     |6.579    |6.425    |     ~   |     ~   |B2IIIe               | 125 |   0
446 |HD 203338                          |s*r|21 19 15.6852148728 +58 37 24.624258456|7.09     |7.09     |5.75     |4.26     |2.93     |M1Ibep               | 120 |   0
447 |* nu. Cep                          |sg*|21 45 26.9251364232 +61 07 14.900183018|4.94     |4.81     |4.29     |3.79     |3.35     |A2Iae                | 253 |   1
448 |HD 205139                          |*  |21 30 59.2916490744 +60 27 33.954560208|4.92     |5.604    |5.522    |     ~   |     ~   |B1Ib                 | 101 |   0
449 |* 12 Cep                           |*  |21 47 25.2953357808 +60 41 33.679451364|     ~   |7.056    |5.514    |     ~   |     ~   |M1III                |  34 |   0
450 |* 9 Cep                            |s*b|21 37 55.2241394424 +62 04 54.990376788|4.49     |5.03     |4.73     |4.42     |4.24     |B2Ib                 | 306 |   0
451 |V* V422 Cep                        |LP*|21 18 32.4249409296 +61 11 03.826839084|     ~   |8.03     |6.49     |     ~   |     ~   |M3                   |  17 |   0
452 |HD 209112                          |V* |21 58 53.5232440200 +62 41 52.757357064|     ~   |7.592    |5.979    |     ~   |     ~   |M3III                |  25 |   0
453 |HD 207780                          |V* |21 49 19.0107503256 +61 16 21.941149260|9.87     |7.84     |6.17     |     ~   |     ~   |M1IIIa               |  26 |   0
454 |NGC 7160                           |OpC|21 53 47.5 +62 35 20                   |     ~   |6.34     |6.1      |     ~   |     ~   |~                    | 240 |   0
455 |HD 207198                          |Y*?|21 44 53.2791389640 +62 27 38.048647248|5.61     |6.25     |5.94     |5.66     |5.49     |O8.5II               | 358 |   0
456 |* 19 Cep                           |*  |22 05 08.7897533088 +62 16 47.332569936|4.36     |5.19     |5.11     |4.95     |4.92     |O9Ib                 | 388 |   0
457 |HD 208606                          |*  |21 55 20.5949872800 +61 32 30.521867352|9.35     |7.692    |6.125    |     ~   |     ~   |G8Ib                 |  76 |   0
458 |V* VV Cep                          |s*r|21 56 39.1414963149 +63 37 31.981636440|7.03     |6.65     |4.90     |3.19     |1.85     |M2Ibep+B2?ep_sh      | 455 |   0
459 |* ksi Cep B                        |PM*|22 03 46.2171618624 +64 37 41.465301888|     ~   |6.862    |6.342    |6.1      |     ~   |F8V                  |  73 |   0
460 |HD 211029                          |V* |22 12 22.4490606144 +63 17 27.725834760|     ~   |7.382    |5.778    |     ~   |     ~   |M3III                |  27 |   0
461 |HD 211242                          |*  |22 13 49.7033940792 +63 09 44.416963800|     ~   |6.027    |6.121    |     ~   |     ~   |B8Vn                 |  38 |   0
462 |* 25 Cep                           |*  |22 18 12.6478522512 +62 48 15.804136584|     ~   |7.010    |5.741    |     ~   |     ~   |K2III                |  27 |   0
463 |* 18 Cep                           |LP?|22 03 52.9770442632 +63 07 11.715055428|     ~   |6.767    |5.300    |     ~   |     ~   |M5III                |  57 |   0
464 |* 20 Cep                           |PM*|22 05 00.4988376072 +62 47 08.416311036|     ~   |6.699    |5.265    |     ~   |     ~   |K4III                |  86 |   0
465 |* ksi Cep                          |** |22 03 47.45499 +64 37 40.7128          |4.72     |4.63     |4.29     |3.97     |3.84     |Am+F7/8V             | 179 |   0
466 |* 26 Cep                           |s*b|22 27 05.3104700184 +65 07 56.160347196|5.24     |5.806    |5.515    |     ~   |     ~   |B0.5Ib               | 152 |   0
467 |HD 213242                          |*  |22 28 19.4893144056 +64 05 06.558054684|     ~   |7.403    |6.285    |     ~   |     ~   |K0                   |  28 |   0
468 |* 30 Cep                           |*  |22 38 39.0517588680 +63 35 04.096947876|     ~   |5.254    |5.188    |     ~   |     ~   |A0IV                 |  64 |   0
469 |HD 218560                          |*  |23 07 57.2052318000 +64 13 21.082279800|     ~   |7.297    |6.212    |     ~   |     ~   |K0                   |  18 |   0
470 |* iot Cep                          |PM*|22 49 40.8174918750 +66 12 01.458192633|5.50     |4.60     |3.54     |2.69     |2.19     |K0-III               | 252 |   0
471 |HD 223128                          |bC?|23 46 36.7365639936 +66 46 56.081325468|5.15     |5.883    |5.937    |     ~   |     ~   |B2IV                 |  72 |   0
472 |HD 225216                          |PM*|00 04 41.9813008512 +67 09 59.202435852|     ~   |6.741    |5.676    |     ~   |     ~   |K1III                |  55 |   0
473 |V* V398 Cep                        |LP*|00 03 51.6411416808 +66 42 43.868118816|     ~   |7.934    |6.323    |     ~   |     ~   |M4III                |  27 |   0
474 |HD 225009                          |*  |00 02 36.0926537328 +66 05 56.268043296|     ~   |6.912    |5.842    |     ~   |     ~   |G8III                |  46 |   0
475 |* 13 Cas                           |*  |00 31 25.2291503064 +66 31 10.621018128|     ~   |6.062    |6.165    |     ~   |     ~   |B6V                  |  43 |   0
476 |* 16 Cas                           |** |00 34 24.9193190280 +66 45 01.217783160|     ~   |6.414    |6.473    |     ~   |     ~   |B8V                  |  35 |   0
477 |HD 3856                            |*  |00 42 03.4206195912 +66 08 51.335930688|     ~   |6.866    |5.821    |     ~   |     ~   |G9III-IV             |  51 |   0
478 |HD 4775                            |SB*|00 50 43.5977451408 +64 14 51.249546240|     ~   |5.868    |5.362    |     ~   |     ~   |G5III+A0V            |  94 |   0
479 |HD 5550                            |SB*|00 58 31.0619888328 +66 21 06.457611996|5.82     |5.95     |5.97     |     ~   |     ~   |A0III                |  64 |   0
480 |* 32 Cas                           |V* |01 11 41.4024150336 +65 01 07.873790052|     ~   |5.487    |5.564    |     ~   |     ~   |B9IV                 |  54 |   0
481 |HD 6960                            |V* |01 11 25.5710702328 +64 12 09.640350540|     ~   |5.488    |5.548    |     ~   |     ~   |B9.5V                |  57 |   0
482 |* 35 Cas                           |PM*|01 21 05.2662699864 +64 39 29.274825816|     ~   |6.425    |6.322    |     ~   |     ~   |A2Vnn                |  45 |   0
483 |HD 10780                           |BY*|01 47 44.8344358038 +63 51 09.011001993|6.84     |6.44     |5.63     |4.99     |4.60     |K0V                  | 364 |   0
484 |* eps Cas                          |Be*|01 54 23.7340861680 +63 40 12.360238788|2.61     |3.22     |3.37     |3.40     |3.52     |B3Vp_sh              | 202 |   0
485 |HD 11857                           |V* |01 58 33.2351547624 +61 41 52.045134828|     ~   |5.963    |6.004    |     ~   |     ~   |B7I                  |  63 |   0
486 |IC 1848                            |OpC|02 51 25.2 +60 25 08                   |     ~   |6.87     |6.5      |     ~   |     ~   |~                    | 505 |   2
487 |HD 17581                           |SB*|02 51 45.8799859320 +58 18 51.458224968|     ~   |6.555    |6.443    |     ~   |     ~   |A1m                  |  59 |   0
488 |HD 18991                           |*  |03 05 40.1671205160 +56 04 08.284252260|9.784    |7.151    |6.105    |     ~   |     ~   |K0III                |  28 |   0
489 |HD 20041                           |*  |03 15 47.9705004096 +57 08 26.243459556|6.61     |6.52     |5.79     |     ~   |     ~   |A0Ia                 | 144 |   1
490 |* k Per                            |PM*|03 05 32.4115072032 +56 42 20.587724352|8.401    |5.794    |4.766    |     ~   |     ~   |G9+IIIb              |  96 |   0
491 |HD 21447                           |*  |03 30 00.1828170168 +55 27 06.506069256|5.160    |5.140    |5.090    |5.01     |5.02     |A1Va                 | 144 |   0
492 |HD 21819                           |*  |03 33 39.0599978496 +54 58 29.497029888|8.061    |6.074    |5.969    |     ~   |     ~   |A3V                  |  38 |   0
493 |HD 23552                           |Be*|03 48 18.0746021928 +50 44 12.357606372|5.88     |6.20     |6.14     |     ~   |     ~   |B8V                  |  91 |   0
494 |HD 24240                           |SB*|03 53 38.6973079584 +48 39 01.788636672|     ~   |6.81     |5.76     |     ~   |     ~   |K0III                |  41 |   0
495 |HD 24504                           |*  |03 55 58.1738380032 +47 52 17.123015028|     ~   |5.297    |5.379    |     ~   |     ~   |B6V                  |  79 |   0
496 |* c Per                            |Be*|04 08 39.6935695869 +47 42 45.038007366|3.45     |4.00     |4.03     |3.91     |3.93     |B3Ve                 | 388 |   0
497 |HD 185351                          |PM*|19 36 37.9768465728 +44 41 41.761562352|     ~   |6.109    |5.169    |     ~   |     ~   |G8.5IIIbFe-0.5       | 149 |   0
498 |HD 182694                          |*  |19 23 56.5004975856 +43 23 17.407385700|     ~   |6.779    |5.853    |     ~   |     ~   |G7IIIa               |  60 |   0
499 |HD 185955                          |Er*|19 39 34.5367004400 +45 57 26.778437064|     ~   |7.171    |6.245    |     ~   |     ~   |G9II-III             |  34 |   0
500 |HD 187372                          |SB*|19 47 26.8268374824 +47 54 27.253680948|9.75     |7.76     |6.12     |     ~   |     ~   |M1III                |  39 |   0
501 |* psi Cyg                          |SB*|19 55 37.7885799288 +52 26 20.180456736|     ~   |5.12     |5.02     |     ~   |     ~   |A4Vn                 |  73 |   0
502 |V* V2100 Cyg                       |a2*|19 59 15.3468080976 +52 03 20.488833576|5.29     |5.954    |6.125    |     ~   |     ~   |B5III                |  65 |   0
503 |HD 190964                          |*  |20 05 06.7574284392 +51 50 21.831978336|9.69     |7.74     |6.14     |     ~   |     ~   |M0III                |  32 |   0
504 |HD 189253                          |*  |19 56 45.1726866504 +50 54 09.078676704|     ~   |6.451    |6.455    |     ~   |     ~   |A1V                  |  27 |   0
505 |* 33 Cyg                           |PM*|20 13 23.8660633993 +56 34 03.803286781|     ~   |4.384    |4.271    |     ~   |     ~   |A3IV-Vn              |  90 |   0
506 |HD 191892                          |*  |20 09 22.3584681072 +56 01 36.578415504|     ~   |7.43     |6.49     |     ~   |     ~   |K0                   |  17 |   0
507 |HD 195554                          |** |20 29 27.1108477224 +56 04 05.490194052|     ~   |5.846    |5.912    |     ~   |     ~   |B8.5V                |  96 |   1
508 |HD 193592A                         |*  |20 18 24.7506686151 +55 23 49.546130658|     ~   |6.05     |6.00     |     ~   |     ~   |A2IV                 |  59 |   0
509 |HD 195066                          |*  |20 26 23.4737901288 +56 38 19.300632504|     ~   |6.383    |6.369    |     ~   |     ~   |B9V                  |  43 |   0
510 |HD 195964                          |*  |20 31 46.5093850344 +56 46 47.505644940|     ~   |7.596    |6.141    |     ~   |     ~   |K5III                |  18 |   0
511 |HD 197734                          |*  |20 42 39.6860419152 +60 36 04.743605376|     ~   |6.187    |6.160    |     ~   |     ~   |A2IV                 |  29 |   0
512 |HD 202582                          |** |21 13 42.48263 +64 24 14.2302          |7.05     |7.00     |6.39     |     ~   |     ~   |G0V                  | 104 |   0
513 |* alf Cep                          |PM*|21 18 34.77233 +62 35 08.0681          |2.770    |2.680    |2.460    |2.22     |2.11     |A8Vn                 | 368 |   0
514 |* 6 Cep                            |Be*|21 19 22.2207740260 +64 52 18.685242792|4.56     |5.14     |5.18     |     ~   |     ~   |B3IVe                | 165 |   0
515 |HD 207826                          |SB*|21 49 08.0754334560 +66 47 31.333360488|     ~   |6.85     |6.48     |     ~   |     ~   |F3IV                 |  48 |   0
516 |BD+65 1664                         |** |21 51 37.24558 +65 45 09.7674          |6.740    |6.640    |6.380    |     ~   |     ~   |A1m                  |  42 |   0
517 |HD 208947                          |SB*|21 57 11.1009923376 +66 09 22.155335100|5.65     |6.337    |6.394    |     ~   |     ~   |B2V                  |  99 |   0
518 |HD 208682                          |Be*|21 55 30.99976 +65 19 14.9142          |5.05     |5.80     |5.86     |     ~   |     ~   |B2Ve                 | 128 |   0
519 |HD 218029                          |*  |23 03 32.8824892536 +67 12 33.158391444|     ~   |6.481    |5.230    |     ~   |     ~   |K3III                |  77 |   0
520 |HD 223274                          |*  |23 47 54.7708751688 +67 48 24.512513328|     ~   |5.041    |5.044    |     ~   |     ~   |A1Vn                 |  61 |   0
521 |HD 5357                            |PM*|00 56 55.1327072016 +68 46 32.296544040|     ~   |6.732    |6.386    |     ~   |     ~   |F4III                |  42 |   0
522 |* 31 Cas                           |*  |01 10 39.3224064744 +68 46 43.041646164|     ~   |5.280    |5.309    |     ~   |     ~   |A0Vnn                |  56 |   0
523 |* psi Cas                          |PM*|01 25 56.0231935514 +68 07 48.049669752|     ~   |5.780    |4.727    |     ~   |     ~   |K0III-IIIbCN0.5      | 109 |   0
524 |HD 9030                            |PM*|01 30 52.1197615896 +66 05 53.118376224|     ~   |6.207    |6.137    |     ~   |     ~   |A2Vs                 |  44 |   0
525 |* 43 Cas                           |a2*|01 42 20.5269432072 +68 02 34.890489276|5.29     |5.52     |5.59     |     ~   |     ~   |A0VpSiSrEuHgMn       | 122 |   0
526 |HD 11946                           |*  |01 59 38.0376593064 +64 37 17.760134928|     ~   |5.273    |5.278    |     ~   |     ~   |A0Vn                 |  68 |   0
527 |* 53 Cas                           |s*b|02 03 00.1876117560 +64 23 24.064866924|5.69     |5.930    |5.614    |     ~   |     ~   |B8Ib                 | 116 |   0
528 |* 55 Cas                           |** |02 14 29.0885565480 +66 31 27.984251136|7.040    |6.700    |6.070    |     ~   |     ~   |F9II+A2Vn            |  65 |   0
529 |* 52 Cas                           |*  |02 02 52.4758999152 +64 54 05.270442264|     ~   |6.012    |5.986    |     ~   |     ~   |A1Vn                 |  49 |   0
530 |HD 17948                           |PM*|02 55 56.9208409368 +61 31 16.094508276|     ~   |6.001    |5.584    |     ~   |     ~   |F5V                  |  98 |   0
531 |C 0255+602                         |Cl*|02 59 18.0 +60 24 00                   |     ~   |     ~   |5.9      |     ~   |     ~   |~                    |  17 |   0
532 |HD 21769                           |*  |03 33 32.2069887912 +58 45 54.875785212|     ~   |6.552    |6.409    |     ~   |     ~   |kA4hA5mA6(V)         |  61 |   0
533 |HD 21794                           |** |03 33 41.2409712600 +57 52 07.428128268|6.900    |6.880    |6.380    |     ~   |     ~   |F7V                  |  82 |   0
534 |V* KZ Cam                          |a2*|03 38 19.7334959304 +56 55 57.775389816|7.589    |6.176    |6.282    |     ~   |     ~   |B9p                  |  79 |   0
535 |HD 21389                           |sg*|03 29 54.7436040912 +58 52 43.496880384|4.99     |5.10     |4.54     |4.03     |3.53     |A0Ia                 | 301 |   0
536 |HD 23383                           |*  |03 47 32.1478965960 +55 55 19.051949424|7.763    |6.063    |6.082    |     ~   |     ~   |B9Vnn                |  54 |   0
537 |* lam Per                          |*  |04 06 35.0425894267 +50 21 04.541423730|4.27     |4.31     |4.29     |4.21     |4.19     |A0IVn                | 114 |   0
538 |* mu. Per                          |SB*|04 14 53.8635146524 +48 24 33.590334394|5.75     |5.12     |4.16     |3.38     |2.83     |G0Ib                 | 248 |   0
539 |* d Per                            |bC*|04 21 33.1662438000 +46 29 55.964841936|4.31     |4.757    |4.812    |     ~   |     ~   |B4IV                 | 198 |   0
540 |* m Per                            |*  |04 33 24.9030370296 +43 03 50.015366964|     ~   |6.469    |6.078    |     ~   |     ~   |F0V                  |  54 |   0
541 |HD 184293                          |PM*|19 31 19.3307715408 +50 18 24.138385416|     ~   |6.814    |5.540    |     ~   |     ~   |K1III                |  45 |   0
542 |HD 185264                          |Er*|19 35 55.9458577440 +50 14 19.022656776|8.380    |7.530    |6.460    |     ~   |     ~   |G9III                |  41 |   0
543 |V* R Cyg                           |S* |19 36 49.3579856496 +50 11 59.727536988|     ~   |9.96     |6.10     |8.96     |6.447    |S4-8/6e              | 278 |   1
544 |HD 185657                          |SB*|19 37 56.7091141848 +49 17 03.826792932|8.260    |7.480    |6.460    |     ~   |     ~   |G6V                  |  77 |   0
545 |* tet Cyg                          |PM*|19 36 26.5330717650 +50 13 15.965003998|4.83     |4.86     |4.48     |4.13     |3.92     |F3+V                 | 354 |   1
546 |* 16 Cyg B                         |PM*|19 41 51.9726777456 +50 31 03.089030916|7.07     |6.86     |6.20     |5.76     |5.42     |G3V                  | 912 |   1
547 |V* V1743 Cyg                       |LP*|19 33 41.6060468328 +49 15 44.347514508|9.37     |7.60     |5.96     |     ~   |     ~   |M4.5III              |  82 |   0
548 |* 16 Cyg A                         |** |19 41 48.9534996168 +50 31 30.219536784|6.79     |6.59     |5.95     |5.50     |5.17     |G1.5Vb               | 780 |   0
549 |HD 185114                          |*  |19 35 01.2340278984 +52 30 07.259794956|     ~   |7.51     |6.38     |     ~   |     ~   |K0                   |  18 |   0
550 |* d Cyg                            |PM*|19 50 37.7235287221 +52 59 16.790345304|7.84     |6.31     |5.03     |     ~   |     ~   |K3IIICN2             | 180 |   0
551 |HD 189296                          |*  |19 56 19.0501404480 +56 41 13.232870844|6.320    |6.250    |6.160    |     ~   |     ~   |A4Vn                 |  33 |   0
552 |HD 191096                          |PM*|20 05 21.4927152288 +56 20 29.108659416|6.600    |6.590    |6.180    |     ~   |     ~   |F4V                  |  58 |   0
553 |HD 194882                          |** |20 25 05.0085789912 +59 36 00.355997340|     ~   |6.523    |6.441    |     ~   |     ~   |A2IVs                |  61 |   0
554 |HD 192781                          |PM*|20 13 27.6162878448 +60 38 26.050279164|     ~   |7.281    |5.780    |     ~   |     ~   |K5III                |  45 |   0
555 |HD 198781                          |Pu*|20 49 17.3909110680 +64 02 32.131010292|5.75     |6.472    |6.451    |     ~   |     ~   |B0.5V                | 108 |   0
556 |* tet Cep                          |SB*|20 29 34.9052664336 +62 59 38.797205460|4.58     |4.42     |4.22     |4.05     |3.96     |A7III                | 159 |   0
557 |* eta Cep                          |PM*|20 45 17.3751675120 +61 50 19.614231888|4.960    |4.320    |3.410    |2.76     |2.27     |K0IV                 | 455 |   0
558 |* 7 Cep                            |*  |21 27 46.1418220704 +66 48 32.749138404|     ~   |5.299    |5.410    |     ~   |     ~   |B7V                  |  57 |   0
559 |V* V431 Cep                        |a2*|21 35 25.9355305272 +68 13 09.449908968|     ~   |6.37     |6.45     |     ~   |     ~   |B8IIIpSi             |  20 |   0
560 |HD 210884                          |PM*|22 10 38.7894437040 +70 07 57.268863804|     ~   |5.88     |5.52     |     ~   |     ~   |F2V                  |  50 |   0
561 |HD 213022                          |*  |22 26 00.8234699928 +70 46 15.252263184|     ~   |6.689    |5.469    |     ~   |     ~   |K2III                |  29 |   0
562 |HD 220974                          |PM*|23 27 16.6294176888 +70 21 35.217101376|5.880    |5.760    |5.600    |     ~   |     ~   |A6IV                 |  35 |   0
563 |V* V388 Cep                        |dS*|23 15 37.7393154216 +70 53 17.094451632|5.920    |5.800    |5.550    |     ~   |     ~   |F0IV                 |  43 |   0
564 |HD 221861                          |*  |23 34 59.0427914904 +71 38 31.359003828|9.37     |7.64     |5.84     |     ~   |     ~   |G9Ib                 |  71 |   0
565 |HD 4440                            |SB*|00 48 09.1027214832 +72 40 28.188023664|     ~   |6.874    |5.855    |     ~   |     ~   |K0IV                 |  35 |   0
566 |HD 5715                            |PM*|01 00 31.0037451912 +70 58 58.765200960|     ~   |6.513    |6.400    |     ~   |     ~   |A4IV                 |  35 |   0
567 |HD 2904                            |*  |00 33 19.2656656224 +70 58 54.677413200|6.220    |6.330    |6.380    |     ~   |     ~   |A0Vnn_lB             |  45 |   0
568 |HD 7389                            |Ro*|01 16 11.9019176448 +71 44 37.825280484|     ~   |7.78     |5.86     |     ~   |     ~   |K5                   |  36 |   0
569 |HD 8424                            |*  |01 25 46.3312721616 +70 58 47.636685372|6.250    |6.340    |6.360    |     ~   |     ~   |A0Vnn                |  30 |   0
570 |* 42 Cas                           |EB*|01 42 55.8632768160 +70 37 21.092102580|     ~   |5.143    |5.174    |     ~   |     ~   |B9V                  |  51 |   0
