C.D.S.  -  SIMBAD4 rel 1.8  -  2025.01.29CET17:13:11

Number of objects : 9018

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |     spec. type      |#bib |#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------------|-----|----
40  |* ome And                          |** |01 27 39.3807155195 +45 24 24.065127426|5.25     |5.25     |4.83     |4.42     |4.19     |F4IV                 | 148 |   0
41  |* chi And                          |SB*|01 39 20.9885732088 +44 23 10.229915472|     ~   |5.886    |5.008    |     ~   |     ~   |G8III                |  88 |   0
42  |HD 10204                           |PM*|01 40 39.6574577184 +43 17 51.612331380|     ~   |5.845    |5.629    |     ~   |     ~   |A7III+               |  51 |   0
43  |HD 10307                           |SB*|01 41 47.1268541099 +42 36 48.221567818|5.69     |5.58     |4.96     |4.43     |4.10     |G1V                  | 510 |   0
44  |* gam02 And                        |SB*|02 03 54.7580291496 +42 19 51.281119488|     ~   |5.02     |5.82     |     ~   |     ~   |B9.5V+A0V            | 151 |   0
45  |* gam01 And                        |*  |02 03 53.95229 +42 19 47.0223          |4.22     |3.30     |2.10     |1.16     |0.47     |K2+IIb               | 350 |   0
46  |HD 14622                           |PM*|02 22 50.3034199104 +41 23 46.657521456|     ~   |6.063    |5.795    |     ~   |     ~   |F0III-IV             |  57 |   0
47  |HD 16004                           |*  |02 35 27.9012972072 +39 39 51.766294680|     ~   |6.258    |6.345    |     ~   |     ~   |B9.5IIIpHg?          |  54 |   0
48  |HD 16350                           |*  |02 38 27.9557175768 +38 05 20.910306300|     ~   |6.256    |6.287    |     ~   |     ~   |B9.5V                |  43 |   0
49  |* 20 Per                           |** |02 53 42.6170816261 +38 20 14.852045941|     ~   |5.742    |5.343    |     ~   |     ~   |F6V                  | 142 |   0
50  |HD 17484                           |SB*|02 49 26.9113845024 +37 19 35.078867148|     ~   |6.870    |6.448    |     ~   |     ~   |F6III-IV             |  51 |   0
51  |HD 17605                           |PM*|02 50 35.2911753648 +36 56 53.978327160|7.190    |7.050    |6.440    |     ~   |     ~   |G0                   |  38 |   0
52  |HD 16327                           |PM*|02 38 17.8307695464 +37 43 36.168026340|     ~   |6.660    |6.191    |     ~   |     ~   |F6III                |  55 |   0
53  |HD 200465                          |*  |21 02 20.9580956976 +39 30 32.518475280|     ~   |7.93     |6.44     |6.92     |     ~   |K3III                |  34 |   0
54  |HD 200577                          |*  |21 03 04.8395367888 +38 39 26.689837392|     ~   |7.105    |6.097    |     ~   |     ~   |G8III                |  31 |   0
55  |HD 203096                          |*  |21 18 55.3293620952 +41 02 25.868960628|6.620    |6.410    |6.150    |     ~   |     ~   |A5IV                 |  31 |   0
56  |HD 202862                          |*  |21 17 23.1826057824 +42 41 00.859147440|     ~   |6.056    |6.159    |     ~   |     ~   |B7V                  |  34 |   0
57  |HD 202720                          |*  |21 16 29.6185619160 +42 15 06.444518184|8.770    |7.490    |6.210    |     ~   |     ~   |K2                   |  22 |   0
58  |* 75 Cyg                           |** |21 40 11.1100359936 +43 16 25.815895860|     ~   |6.682    |5.086    |     ~   |     ~   |M1IIIab              |  69 |   0
59  |HD 205939                          |*  |21 37 27.8740204632 +44 41 47.574969360|6.580    |6.400    |6.200    |     ~   |     ~   |A7III                |  43 |   1
60  |HD 209932                          |*  |22 05 50.4494858112 +45 06 45.003104748|     ~   |6.458    |6.494    |     ~   |     ~   |A0V                  |  54 |   0
61  |HD 209945                          |V* |22 06 01.9526899392 +45 00 51.650286984|     ~   |6.649    |5.070    |     ~   |     ~   |K5III                |  54 |   0
62  |HD 209515                          |a2*|22 02 56.66068 +44 38 59.5009          |     ~   |5.565    |5.596    |     ~   |     ~   |B9.5VpCrSiSr         | 107 |   0
63  |V* HT Lac                          |LP*|22 05 16.4991120456 +46 44 41.407404108|9.50     |7.74     |6.13     |4.47     |2.91     |M4III                |  49 |   0
64  |HD 211096                          |PM*|22 13 49.2402464184 +45 26 26.201813100|5.530    |5.530    |5.530    |     ~   |     ~   |A0III                |  37 |   0
65  |V* AR Lac                          |RS*|22 08 40.8182089680 +45 44 32.107863120|7.09     |6.83     |6.11     |     ~   |     ~   |K0IVe+G5IV           | 733 |   0
66  |HD 209993                          |*  |22 06 12.2660311968 +45 14 55.273436700|     ~   |6.248    |6.181    |     ~   |     ~   |A3V                  |  40 |   0
67  |* 2 Lac                            |SB*|22 21 01.5473008957 +46 32 11.651206597|3.95     |4.431    |4.540    |     ~   |     ~   |B6V                  | 127 |   0
68  |* 5 Lac                            |s*r|22 29 31.8281552924 +47 42 24.861238614|7.15     |6.05     |4.37     |2.98     |1.91     |K9Ia+B2V             | 145 |   0
69  |* 7 And                            |PM*|23 12 33.0035121942 +49 24 22.345927341|4.85     |4.81     |4.52     |4.23     |4.07     |F1V                  | 160 |   0
70  |* 8 And                            |V* |23 17 44.6472657024 +49 00 55.082930904|8.50     |6.53     |4.86     |3.40     |2.14     |M2.5IIIBa0.5         | 115 |   0
71  |* 11 And                           |PM*|23 19 29.8077401832 +48 37 31.163086704|     ~   |6.453    |5.440    |     ~   |     ~   |K0III                |  68 |   0
72  |HD 221246                          |*  |23 30 07.4135665968 +49 07 59.322247896|     ~   |7.627    |6.152    |     ~   |     ~   |K3III                |  43 |   0
73  |NGC 7686                           |OpC|23 29 41.3 +49 10 12                   |     ~   |6.79     |5.6      |     ~   |     ~   |~                    |  21 |   0
74  |* 18 And                           |*  |23 39 08.3316539712 +50 28 18.237535608|     ~   |5.24     |5.35     |     ~   |     ~   |B9Ve                 |  59 |   0
75  |HD 222570                          |*  |23 41 26.7851881704 +49 30 44.699747112|6.590    |6.430    |6.260    |     ~   |     ~   |A4V                  |  24 |   0
76  |HD 743                             |PM*|00 11 59.0850984672 +48 09 08.631507168|     ~   |7.635    |6.162    |     ~   |     ~   |K4III                |  19 |   0
